,Fun_1,Fun_2,Fun_3,Job_1,Job_2,Job_3,Qual_1,Qual_2,Qual_3,Qual_4,Ease_1,Ease_2,Ease_3,Ease_4,Zufr_1,Zufr_2,Zufr_3,Nuetz_1,Nuetz_2,Nuetz_3,Inten_1,Inten_2,Inten_3
37,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.739130434782609,3.108695652173913,3.1739130434782608,2.893617021276596,3.425531914893617,3.4782608695652173,3.1702127659574466,3.4468085106382977,3.3191489361702127
38,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
39,6.0,4.0,4.0,2.0,6.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
40,3.0,3.0,3.0,5.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0
41,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
42,2.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0
43,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
44,3.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0
45,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
46,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0
47,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0
48,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
49,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,6.0,4.0,4.0,3.0,3.0,3.0,4.0,6.0,5.0
50,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
